id,Date,Valence_Sum,Arousal_Sum,words_Num,Valence_Avg,Arousal_Avg
1,2020/1/26,-11.4,-5.2,14,-0.814286,-0.371429
2,2020/1/26,-1.6,-0.8,1,-1.6,-0.8
3,2020/1/26,-27.4,-18,92,-0.297826,-0.195652
4,2020/1/26,2.6,-11.6,19,0.136842,-0.610526
5,2020/1/26,7.6,-64.2,97,0.078351,-0.661856
6,2020/1/26,-14.6,-9.8,22,-0.663636,-0.445455
7,2020/1/26,-27.2,7.3,27,-1.007407,0.27037
8,2020/1/26,0.2,-5.2,17,0.011765,-0.305882
9,2020/1/26,-49.1,-36.7,111,-0.442342,-0.330631
10,2020/1/26,-10.5,-36.2,59,-0.177966,-0.613559
11,2020/1/26,-1.4,-8.4,20,-0.07,-0.42
12,2020/1/26,-13.9,-20.7,36,-0.386111,-0.575
13,2020/1/26,-14.8,-21.8,39,-0.379487,-0.558974
14,2020/1/26,-2,-7.2,8,-0.25,-0.9
15,2020/1/26,0,0,0,0,0
16,2020/1/27,-13.6,-16.9,38,-0.357895,-0.444737
17,2020/1/27,-10.7,-13.6,27,-0.396296,-0.503704
18,2020/1/27,-40.1,-46.9,72,-0.556944,-0.651389
19,2020/1/27,-45.4,-32.1,77,-0.58961,-0.416883
20,2020/1/27,-2.8,1.8,1,-2.8,1.8
21,2020/1/27,1.2,-22.1,37,0.032432,-0.597297
22,2020/1/27,-0.6,-2.4,5,-0.12,-0.48
23,2020/1/27,-4.2,-1.4,3,-1.4,-0.466667
24,2020/1/27,0.3,-9.1,39,0.007692,-0.233333
25,2020/1/27,6.2,-20.2,31,0.2,-0.651613
26,2020/1/27,-23,-14.6,26,-0.884615,-0.561538
27,2020/1/27,-0.2,0,3,-0.066667,0
28,2020/1/27,-4.5,-7.2,13,-0.346154,-0.553846
29,2020/1/27,-13.4,-7,24,-0.558333,-0.291667
30,2020/1/27,-29.5,-3.5,28,-1.053571,-0.125
31,2020/1/27,-24.6,-3.7,27,-0.911111,-0.137037
32,2020/1/27,-77.6,-14.3,159,-0.48805,-0.089937
33,2020/1/27,0.7,-12.8,12,0.058333,-1.066667
34,2020/1/27,-24.6,-13.1,108,-0.227778,-0.121296
35,2020/1/27,4.3,-17.8,16,0.26875,-1.1125
36,2020/1/27,-5.8,-3.8,9,-0.644444,-0.422222
37,2020/1/27,-18.1,-18.4,44,-0.411364,-0.418182
38,2020/1/27,-34.9,-17.2,34,-1.026471,-0.505882
39,2020/1/27,-1.7,-1.4,3,-0.566667,-0.466667
40,2020/1/27,-32.6,-17,39,-0.835897,-0.435897
41,2020/1/27,-8.5,-3,14,-0.607143,-0.214286
42,2020/1/27,-66.9,-63.7,124,-0.539516,-0.51371
43,2020/1/28,2.1,3,9,0.233333,0.333333
44,2020/1/28,-0.6,-3.4,9,-0.066667,-0.377778
45,2020/1/28,-7.3,-46.8,87,-0.083908,-0.537931
46,2020/1/28,-12.4,-9.8,49,-0.253061,-0.2
47,2020/1/28,19.2,-15,57,0.336842,-0.263158
48,2020/1/28,0.8,-1.6,1,0.8,-1.6
49,2020/1/28,-13.4,0,47,-0.285106,0
50,2020/1/28,-6.5,-0.8,11,-0.590909,-0.072727
51,2020/1/28,-19.9,-1.3,27,-0.737037,-0.048148
52,2020/1/28,-7,-2.8,9,-0.777778,-0.311111
53,2020/1/28,-19.9,-1.3,27,-0.737037,-0.048148
54,2020/1/28,10.2,-17.2,28,0.364286,-0.614286
55,2020/1/28,-7.5,-1.6,13,-0.576923,-0.123077
56,2020/1/28,-3.7,-23.4,54,-0.068519,-0.433333
57,2020/1/28,-21.5,-21.2,41,-0.52439,-0.517073
58,2020/1/28,-24.2,-5.3,79,-0.306329,-0.067089
59,2020/1/28,28,-11.6,36,0.777778,-0.322222
60,2020/1/28,15,2.4,78,0.192308,0.030769
61,2020/1/28,23.3,-11.7,70,0.332857,-0.167143
62,2020/1/28,-7,-0.2,5,-1.4,-0.04
63,2020/1/28,-5.8,2.8,6,-0.966667,0.466667
64,2020/1/28,-31.3,4.6,96,-0.326042,0.047917
65,2020/1/28,-36.8,22.2,183,-0.201093,0.121311
66,2020/1/28,-25.4,-9.7,27,-0.940741,-0.359259
67,2020/1/28,-3.6,-5,15,-0.24,-0.333333
68,2020/1/28,-13.9,-34.1,49,-0.283673,-0.695918
69,2020/1/28,3.4,-31.8,36,0.094444,-0.883333
70,2020/1/28,-30.3,-32,57,-0.531579,-0.561404
71,2020/1/28,-3.1,-3.7,17,-0.182353,-0.217647
72,2020/1/28,56.2,-4.4,50,1.124,-0.088
73,2020/1/28,-6.6,-7.6,22,-0.3,-0.345455
74,2020/1/28,-31.2,16.9,35,-0.891429,0.482857
75,2020/1/28,-30.6,-6.4,34,-0.9,-0.188235
76,2020/1/28,-35.2,-39,79,-0.44557,-0.493671
77,2020/1/28,-12.6,-1.9,22,-0.572727,-0.086364
78,2020/1/28,-33.7,-6.4,58,-0.581034,-0.110345
79,2020/1/28,-49.2,-33.1,82,-0.6,-0.403659
80,2020/1/28,-3.2,-5,11,-0.290909,-0.454545
81,2020/1/29,-16.6,-18.8,34,-0.488235,-0.552941
82,2020/1/29,23.3,-6.2,69,0.337681,-0.089855
83,2020/1/29,-76,-50.7,125,-0.608,-0.4056
84,2020/1/29,11.2,-10,29,0.386207,-0.344828
85,2020/1/29,-13.3,-21.2,41,-0.32439,-0.517073
86,2020/1/29,-44.5,-7.3,50,-0.89,-0.146
87,2020/1/29,-9.8,4,5,-1.96,0.8
88,2020/1/29,-40.4,-5,47,-0.859574,-0.106383
89,2020/1/29,-109.5,-4.1,90,-1.216667,-0.045556
90,2020/1/29,-6.4,-11.7,25,-0.256,-0.468
91,2020/1/29,-68.2,-35.3,110,-0.62,-0.320909
92,2020/1/29,0.6,-7.6,7,0.085714,-1.085714
93,2020/1/29,-3.6,-10,10,-0.36,-1
94,2020/1/29,-0.2,-0.4,7,-0.028571,-0.057143
95,2020/1/29,4.4,1.6,8,0.55,0.2
96,2020/1/29,-24.4,-12.6,41,-0.595122,-0.307317
97,2020/1/29,-18.1,-14.4,29,-0.624138,-0.496552
98,2020/1/29,-8.8,-11,36,-0.244444,-0.305556
99,2020/1/29,-34.7,-10.1,38,-0.913158,-0.265789
100,2020/1/29,-7,2.2,10,-0.7,0.22
101,2020/1/29,-1.8,0,1,-1.8,0
102,2020/1/29,-4.4,-4.4,8,-0.55,-0.55
103,2020/1/29,-6.5,-1.2,11,-0.590909,-0.109091
104,2020/1/30,3.6,-10.3,11,0.327273,-0.936364
105,2020/1/30,9.3,-44,75,0.124,-0.586667
106,2020/1/30,-16.6,-58.2,86,-0.193023,-0.676744
107,2020/1/30,-10.4,-5.4,32,-0.325,-0.16875
108,2020/1/30,3.2,-5.2,24,0.133333,-0.216667
109,2020/1/30,7.6,-9,13,0.584615,-0.692308
110,2020/1/30,-6.8,-1.2,19,-0.357895,-0.063158
111,2020/1/30,-2,-0.6,6,-0.333333,-0.1
112,2020/1/30,-36.4,-23.1,57,-0.638596,-0.405263
113,2020/1/30,8.6,-12.6,17,0.505882,-0.741176
114,2020/1/30,-7.1,-31.8,31,-0.229032,-1.025806
115,2020/1/30,-31.7,1.5,29,-1.093103,0.051724
116,2020/1/30,-9.3,-6.7,19,-0.489474,-0.352632
117,2020/1/30,-1.4,-23.2,18,-0.077778,-1.288889
118,2020/1/30,-5.6,-3.6,7,-0.8,-0.514286
119,2020/1/30,-15.2,-21.7,32,-0.475,-0.678125
120,2020/1/30,-32.8,-21.2,45,-0.728889,-0.471111
121,2020/1/30,10,-19.4,105,0.095238,-0.184762
122,2020/1/30,10,-33.8,55,0.181818,-0.614545
123,2020/1/30,-13.9,-6.8,18,-0.772222,-0.377778
124,2020/1/30,-221.2,-129.5,237,-0.933333,-0.546414
125,2020/1/30,-6.8,-5.2,7,-0.971429,-0.742857
126,2020/1/30,-6.6,-23.6,29,-0.227586,-0.813793
127,2020/1/30,-16.3,7.6,69,-0.236232,0.110145
128,2020/1/30,-31.6,-14.6,40,-0.79,-0.365
129,2020/1/30,0.7,-12.1,14,0.05,-0.864286
