"","id","Date","Valence_Sum","Arousal_Sum","words_Num","Valence_Avg","Arousal_Avg"
"1",2,2020-01-01,-4.4,-2,5,-0.88,-0.4
"2",3,2020-01-01,-23.6,-0.1,45,-0.524444,-0.002222
"3",4,2020-01-01,18.6,-2.3,16,1.1625,-0.14375
"4",5,2020-01-02,14,-2.4,21,0.666667,-0.114286
"5",6,2020-01-02,15.4,-10.2,22,0.7,-0.463636
"6",7,2020-01-02,33,-21.3,51,0.647059,-0.417647
"7",8,2020-01-03,-31.2,3.8,26,-1.2,0.146154
"8",9,2020-01-04,-62.2,-51.1,95,-0.654737,-0.537895
"9",10,2020-01-05,-5.2,-6.8,8,-0.65,-0.85
"10",11,2020-01-06,-15.1,-13.9,32,-0.471875,-0.434375
"11",12,2020-01-06,13.7,-12.6,24,0.570833,-0.525
"12",13,2020-01-07,6.3,-19.3,20,0.315,-0.965
"13",14,2020-01-08,1.6,1,8,0.2,0.125
"14",15,2020-01-08,39,-3.9,29,1.344828,-0.134483
"15",16,2020-01-08,3.2,0,2,1.6,0
"16",17,2020-01-09,-18.7,-25.2,48,-0.389583,-0.525
"17",18,2020-01-09,-19.1,-24.2,48,-0.397917,-0.504167
"18",19,2020-01-09,38.5,-24.7,110,0.35,-0.224545
"19",20,2020-01-09,5.1,-7.3,10,0.51,-0.73
"20",21,2020-01-09,5.8,-1.2,4,1.45,-0.3
"21",22,2020-01-09,-1.1,-0.6,11,-0.1,-0.054545
"22",23,2020-01-09,-22.2,-37,68,-0.326471,-0.544118
"23",24,2020-01-10,26.2,-13.9,42,0.62381,-0.330952
"24",25,2020-01-10,-0.9,-1,6,-0.15,-0.166667
"25",26,2020-01-10,9.7,-10,38,0.255263,-0.263158
"26",27,2020-01-10,47.7,-33.4,54,0.883333,-0.618519
"27",28,2020-01-10,7.8,-0.1,18,0.433333,-0.005556
"28",29,2020-01-10,2.4,-2.7,14,0.171429,-0.192857
"29",30,2020-01-10,23.6,2,23,1.026087,0.086957
"30",31,2020-01-11,-2.1,-2.2,5,-0.42,-0.44
"31",32,2020-01-12,-15,-10.8,17,-0.882353,-0.635294
"32",33,2020-01-12,-25.3,-7.1,42,-0.602381,-0.169048
"33",34,2020-01-12,14.1,0.6,25,0.564,0.024
"34",35,2020-01-12,14,-2.3,17,0.823529,-0.135294
"35",36,2020-01-12,5.5,-9.5,36,0.152778,-0.263889
"36",37,2020-01-13,10.9,-26.4,68,0.160294,-0.388235
"37",38,2020-01-14,6.8,-1.2,7,0.971429,-0.171429
"38",39,2020-01-15,-21.7,6.3,23,-0.943478,0.273913
"39",40,2020-01-15,-50,-37.5,70,-0.714286,-0.535714
"40",41,2020-01-15,-9.2,-23.3,44,-0.209091,-0.529545
"41",42,2020-01-15,21.8,-20,43,0.506977,-0.465116
"42",43,2020-01-15,7.8,2.4,23,0.33913,0.104348
"43",44,2020-01-16,-25.5,-50.2,68,-0.375,-0.738235
"44",45,2020-01-16,-4.8,-3.2,6,-0.8,-0.533333
"45",46,2020-01-16,-3.8,-2.4,5,-0.76,-0.48
"46",47,2020-01-17,29.4,3.8,28,1.05,0.135714
"47",48,2020-01-18,8.1,-18.4,78,0.103846,-0.235897
"48",49,2020-01-18,-0.7,-1.2,15,-0.046667,-0.08
"49",50,2020-01-19,7.6,-3.8,8,0.95,-0.475
"50",51,2020-01-19,-68.4,-29.2,97,-0.705155,-0.301031
"51",52,2020-01-20,-17,-10.4,32,-0.53125,-0.325
"52",53,2020-01-20,-1,0.2,4,-0.25,0.05
"53",54,2020-01-20,-10.8,4.2,19,-0.568421,0.221053
"54",55,2020-01-20,-20,-17,44,-0.454545,-0.386364
