"","Date","Category","RMSE"
"1","2020/01","Energy",0.299233667458889
"2","2020/02","Energy",2.08374233497285
"3","2020/03","Energy",50580334.4366805
"4","2020/04","Energy",8088545.43553208
"5","2020/05","Energy",8802477.67909098
"6","2020/06","Energy",39919572.6875399
"7","2020/07","Energy",63211405.373241
"8","2020/08","Energy",51357142.9643531
"9","2020/09","Energy",42636116.4696559
"10","2020/10","Energy",192463439.050601
"11","2020/11","Energy",522835166.329413
"12","2020/12","Energy",777184827.885926
"13","2021/01","Energy",2286530033.07872
"14","2021/02","Energy",200531185.146476
"15","2021/03","Energy",112957584.186726
"16","2021/04","Energy",177013384.789824
"17","2020/01","Materials",0.326020604885977
"18","2020/02","Materials",2.03836073065935
"19","2020/03","Materials",54404694.5124037
"20","2020/04","Materials",7972788.40774423
"21","2020/05","Materials",9985568.37474732
"22","2020/06","Materials",60700903.5577622
"23","2020/07","Materials",44518131.481262
"24","2020/08","Materials",50818604.3897981
"25","2020/09","Materials",42957631.9768842
"26","2020/10","Materials",237084187.297287
"27","2020/11","Materials",558328952.160026
"28","2020/12","Materials",926186961.978725
"29","2021/01","Materials",1690934696.74905
"30","2021/02","Materials",266298619.328465
"31","2021/03","Materials",116628505.92313
"32","2021/04","Materials",134904323.123511
"33","2020/01","Industrials",0.35007154916952
"34","2020/02","Industrials",2.01019230020194
"35","2020/03","Industrials",52730670.3639542
"36","2020/04","Industrials",8117432.0277146
"37","2020/05","Industrials",10759642.3295694
"38","2020/06","Industrials",51502525.8524842
"39","2020/07","Industrials",49247666.0118718
"40","2020/08","Industrials",49931483.2351844
"41","2020/09","Industrials",42778323.6143943
"42","2020/10","Industrials",224528550.803141
"43","2020/11","Industrials",433325209.761839
"44","2020/12","Industrials",837065585.4725
"45","2021/01","Industrials",1635492454.45638
"46","2021/02","Industrials",228953615.582152
"47","2021/03","Industrials",116729387.192802
"48","2021/04","Industrials",153543513.473412
"49","2020/01","Consumer.Discretionary",0.362994914207058
"50","2020/02","Consumer.Discretionary",2.04452861227987
"51","2020/03","Consumer.Discretionary",56934627.4858684
"52","2020/04","Consumer.Discretionary",7136374.49833572
"53","2020/05","Consumer.Discretionary",8743274.69730333
"54","2020/06","Consumer.Discretionary",80068852.3774358
"55","2020/07","Consumer.Discretionary",45715012.8411334
"56","2020/08","Consumer.Discretionary",39255312.4215585
"57","2020/09","Consumer.Discretionary",41648845.9767087
"58","2020/10","Consumer.Discretionary",199077995.451156
"59","2020/11","Consumer.Discretionary",686118734.151734
"60","2020/12","Consumer.Discretionary",927521948.675362
"61","2021/01","Consumer.Discretionary",2177600877.26545
"62","2021/02","Consumer.Discretionary",467349783.874329
"63","2021/03","Consumer.Discretionary",116213525.435663
"64","2021/04","Consumer.Discretionary",169783287.273588
"65","2020/01","Consumer.Staples",0.431011083716697
"66","2020/02","Consumer.Staples",1.98817150202644
"67","2020/03","Consumer.Staples",48898107.7807971
"68","2020/04","Consumer.Staples",7878640.57926601
"69","2020/05","Consumer.Staples",11448260.6221619
"70","2020/06","Consumer.Staples",48831612.3754833
"71","2020/07","Consumer.Staples",33382458.1736615
"72","2020/08","Consumer.Staples",43291200.8698078
"73","2020/09","Consumer.Staples",41961958.1400606
