,Date,NewCases,Energy,Materials,Industrials,Consumer.Discretionary,Consumer.Staples,Health.Care,Financials,Information.Technology,Communication.Services,Utilities,Real.Estate
1,2020/1/1,0,460.17,381.035,700.025,999.005,641.335,1190.225,516.105,1639.06,184.015,323.41,237.07
2,2020/1/2,0,460.34,381.07,700.05,999.01,641.67,1190.45,516.21,1639.12,184.03,323.82,237.14
3,2020/1/3,0,458.77,374.88,699.23,990.5,640.55,1180.33,510.52,1621.68,183.01,324.18,239.06
4,2020/1/4,0,459.96,374.3166667,699.1666667,991.7066667,641.0566667,1182.643333,510.4233333,1623.246667,183.7533333,324.4466667,239.1266667
5,2020/1/5,0,461.15,373.7533333,699.1033333,992.9133333,641.5633333,1184.956667,510.3266667,1624.813333,184.4966667,324.7133333,239.1933333
6,2020/1/6,0,462.34,373.19,699.04,994.12,642.07,1187.27,510.23,1626.38,185.24,324.98,239.26
7,2020/1/7,0,461.39,372.41,698.18,992.87,637.39,1184.41,506.82,1624.59,185.17,324.34,236.4
8,2020/1/8,0,453.36,374.25,699.78,994.37,640.26,1192.03,509.56,1641.38,186.44,324.33,237.4
9,2020/1/9,0,456.79,375.48,702.98,999.92,644.96,1197.64,513.48,1659.95,186.92,326.03,237.55
10,2020/1/10,0,453.87,373.89,697.97,994.48,644.13,1198.13,509.47,1656.82,186.63,326.82,239.8
11,2020/1/11,0,453.9966667,375.5833333,700.0333333,995.5433333,645.5966667,1196.72,510.7066667,1664.243333,187.1133333,327.5366667,240.79
12,2020/1/12,0,454.1233333,377.2766667,702.0966667,996.6066667,647.0633333,1195.31,511.9433333,1671.666667,187.5966667,328.2533333,241.78
13,2020/1/13,0,454.25,378.97,704.16,997.67,648.53,1193.9,513.18,1679.09,188.08,328.97,242.77
14,2020/1/14,0,454.26,377.51,704.15,996.51,648.68,1200.43,511.95,1669.08,187.52,329.88,241.57
15,2020/1/15,0,451.21,379.93,704.75,993.95,652.87,1210.62,509.14,1670.26,188.15,334.52,243.44
16,2020/1/16,0,451.74,382.12,711.84,1002.85,654.89,1216.96,513.07,1693.66,189.4,336.55,245.37
17,2020/1/17,0,448.77,383.98,711.83,1005.68,656.56,1217.69,515.28,1705.75,191.1,339.11,245.7
18,2020/1/18,0,446.6575,382.9575,709.8975,1005.2525,657.12,1217.8175,514.1675,1705.395,191.0775,339.82,246.3575
19,2020/1/19,0,444.545,381.935,707.965,1004.825,657.68,1217.945,513.055,1705.04,191.055,340.53,247.015
20,2020/1/20,0,442.4325,380.9125,706.0325,1004.3975,658.24,1218.0725,511.9425,1704.685,191.0325,341.24,247.6725
21,2020/1/21,0,440.32,379.89,704.1,1003.97,658.8,1218.2,510.83,1704.33,191.01,341.95,248.33
22,2020/1/22,0,436.39,378.4,700.02,1002.92,659.44,1219.64,512.19,1710.58,191.12,342.96,246.37
23,2020/1/23,0,434.81,377.88,707.9,1004.12,657.7,1213.6,510.99,1718.85,190.47,346.11,248.75
24,2020/1/24,1,429.71,375.28,704.53,990.75,653.43,1193.25,504.03,1711.11,188.48,347.25,248.17
25,2020/1/25,0,425.7633333,372.6533333,700.1466667,985.7133333,652.7366667,1190.236667,501.4466667,1697.633333,187.4166667,346.9,247.8266667
26,2020/1/26,3,421.8166667,370.0266667,695.7633333,980.6766667,652.0433333,1187.223333,498.8633333,1684.156667,186.3533333,346.55,247.4833333
27,2020/1/27,0,417.87,367.4,691.38,975.64,651.35,1184.21,496.28,1670.68,185.29,346.2,247.14
28,2020/1/28,0,419.59,371,695.72,985.22,652.12,1189.86,501.89,1701.97,187.48,347.48,247.88
29,2020/1/29,1,415.12,372.35,699.57,984.65,648.73,1186.54,501.09,1705.61,186.67,348.53,246.33
30,2020/1/30,0,418.79,370.16,700.16,983.92,655.54,1177.34,507.35,1720.68,185.19,351.64,246.98
31,2020/1/31,2,405.45,361.99,684.12,992.01,648.25,1153.96,497.1,1673.91,182.84,350.08,243.62
32,2020/2/1,0,403.64,364.5666667,684.0266667,993.9933333,648.23,1157.52,498.0866667,1681.27,183.6133333,350.46,243.7266667
33,2020/2/2,0,401.83,367.1433333,683.9333333,995.9766667,648.21,1161.08,499.0733333,1688.63,184.3866667,350.84,243.8333333
34,2020/2/3,3,400.02,369.72,683.84,997.96,648.19,1164.64,500.06,1695.99,185.16,351.22,243.94
35,2020/2/4,0,400.81,376.17,696.42,1015.54,651.73,1184.41,505.25,1740.06,186.46,347.61,246.84
36,2020/2/5,0,415.97,383.18,707.99,1020.57,656.67,1207.71,515.2,1750.55,186.55,349.07,246.67
37,2020/2/6,1,411.64,382.87,710.17,1018.97,658.84,1209.05,514.33,1766,188.68,348.98,247.66
38,2020/2/7,0,408.55,377.27,705.2,1016,660.01,1199.27,512.49,1748.74,188.88,347.89,247.78
39,2020/2/8,0,407.4466667,377.29,706.5233333,1020.253333,660.8333333,1201.316667,512.8466667,1756.613333,189.4066667,348.28,248.7933333
40,2020/2/9,0,406.3433333,377.31,707.8466667,1024.506667,661.6566667,1203.363333,513.2033333,1764.486667,189.9333333,348.67,249.8066667
41,2020/2/10,0,405.24,377.33,709.17,1028.76,662.48,1205.41,513.56,1772.36,190.46,349.06,250.82
42,2020/2/11,1,409.47,379.27,711.68,1036.64,660.09,1212.83,515.63,1766.25,189.29,350.39,253.88
43,2020/2/12,0,415.03,381.26,718.21,1046.86,659.83,1214.51,516.01,1785.01,191.03,350.46,255.58
44,2020/2/13,1,413.15,379.81,713.22,1044.33,663.48,1207.93,515.78,1779.68,191.31,354.04,256.87
45,2020/2/14,0,409.82,380.03,712.8,1042.54,665.35,1209.53,516.18,1788.47,191.5,356.33,259.71
46,2020/2/15,0,408.97,379.815,711.8,1042.7525,664.665,1208.4175,515.035,1786.91,191.69,357.03,259.61
47,2020/2/16,0,408.12,379.6,710.8,1042.965,663.98,1207.305,513.89,1785.35,191.88,357.73,259.51
48,2020/2/17,0,407.27,379.385,709.8,1043.1775,663.295,1206.1925,512.745,1783.79,192.07,358.43,259.41
49,2020/2/18,0,406.42,379.17,708.8,1043.39,662.61,1205.08,511.6,1782.23,192.26,359.13,259.31
50,2020/2/19,0,411.79,379.92,708.42,1048.28,662.06,1210.55,515.37,1801.61,192.97,355.2,255.78
