"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工","日新增案例","累積案例"
"8",2021-04-01,185.38,1892.29,278.6,594.44,257.62,65.57,52.43,367.52,123.69,342.82,346.33,359.85,116.63,108.7,1394.87,281.89,347.6,119.57,72.98,125.74,411.11,143.74,47.02,129.18,177.06,161.26,135.83,111.37,112.64,831.37,696.51,936.94,6,1036
"9",2021-04-02,185.46,1894.114,279.026,595.506,258.032,65.638,53.4,369.228,124.262,344.21,346.62,360.5,117.152,108.78,1394.72,281.766,347.718,119.814,72.88,125.908,412.442,143.814,47.02,129.296,177.4,161.476,135.69,111.56,112.68,833.43,698.446,938.446,3,1039
"10",2021-04-03,185.54,1895.938,279.452,596.572,258.444,65.706,54.37,370.936,124.834,345.6,346.91,361.15,117.674,108.86,1394.57,281.642,347.836,120.058,72.78,126.076,413.774,143.888,47.02,129.412,177.74,161.692,135.55,111.75,112.72,835.49,700.382,939.952,6,1045
"11",2021-04-04,185.62,1897.762,279.878,597.638,258.856,65.774,55.34,372.644,125.406,346.99,347.2,361.8,118.196,108.94,1394.42,281.518,347.954,120.302,72.68,126.244,415.106,143.962,47.02,129.528,178.08,161.908,135.41,111.94,112.76,837.55,702.318,941.458,2,1047
"12",2021-04-05,185.7,1899.586,280.304,598.704,259.268,65.842,56.31,374.352,125.978,348.38,347.49,362.45,118.718,109.02,1394.27,281.394,348.072,120.546,72.58,126.412,416.438,144.036,47.02,129.644,178.42,162.124,135.27,112.13,112.8,839.61,704.254,942.964,1,1048
"13",2021-04-06,185.78,1901.41,280.73,599.77,259.68,65.91,57.28,376.06,126.55,349.77,347.78,363.1,119.24,109.1,1394.12,281.27,348.19,120.79,72.48,126.58,417.77,144.11,47.02,129.76,178.76,162.34,135.13,112.32,112.84,841.67,706.19,944.47,2,1050
"14",2021-04-07,185.42,1907.17,280.19,600.06,265.38,66.73,56.11,373.66,130.55,354.82,348.78,365.47,121.26,109.13,1396.7,282.63,349.61,121.26,72.84,127.31,418.67,144.11,48.32,130.35,179.56,164.53,135.77,113.14,113.34,845.09,703,945.89,0,1050
"15",2021-04-08,185.84,1906.38,279.96,617.04,271.38,67.8,56.26,387.73,137.21,362.28,350.56,365.42,123.44,109.85,1389.88,282.56,351.02,122.16,72.58,127.56,422.45,145,49.22,129.79,180.14,164.57,137.16,112.97,113.56,851.1,704.62,948.38,0,1050
"16",2021-04-09,185.25,1902.41,286.39,616.43,268.61,67.48,55.73,376.91,136.14,373.21,348.66,363.83,120.07,109.13,1384.78,283.53,353.31,122.43,72.71,127.33,419.54,144.61,49.34,130.57,178.36,162.4,136.99,111.19,113.79,845.71,701.8,966.97,4,1054
"17",2021-04-10,185.693333333333,1902.49666666667,288.18,620.04,268.92,68.25,56.2033333333333,389.196666666667,138.7,376.666666666667,348.293333333333,363.36,122.436666666667,108.87,1392.37,283.676666666667,354.43,123.106666666667,72.92,127.403333333333,417.866666666667,144.473333333333,49.8,130.283333333333,177.403333333333,162.316666666667,136.73,111.17,114.27,843.346666666667,704.056666666667,973.003333333333,2,1056
